ra_num,anos,inde_media,inde_dp,inde_min,inde_max,ano_ultimo,Fase_num,RA
19,2,7.6879333335,0.03243263126612546,7.665,7.710866667,2023,7,RA-19
27,2,7.5226333335,0.5637526666496975,7.124,7.921266667,2023,7,RA-27
32,2,7.0433333335,0.46197643013950845,6.716666667,7.37,2023,7,RA-32
38,2,8.679166666499999,0.22085301775489655,8.523,8.835333333,2023,7,RA-38
39,2,7.3716666664999995,1.8931605552610806,6.033,8.710333333,2023,7,RA-39
40,3,7.1570088206888895,0.053662279657427855,7.098051462066667,7.203,2024,7,RA-40
42,3,7.057048478955555,0.5205867625593137,6.72,7.656628769866667,2024,6,RA-42
43,2,5.9741,0.690277639794308,5.486,6.4622,2023,6,RA-43
44,2,5.9001666665000005,0.5065241573542614,5.542,6.258333333,2023,6,RA-44
45,3,8.212689285800002,0.5815907276948258,7.591,8.743476190400001,2024,7,RA-45
46,2,5.7966916665,0.35540365357308074,5.545383333,6.048,2023,5,RA-46
48,3,8.068482901600001,0.3074651265488629,7.797058333,8.402390371800001,2024,7,RA-48
52,3,7.989888888911111,0.14346873195000467,7.861,8.144466666733333,2024,7,RA-52
53,2,7.1628166664999995,0.619166267597279,6.725,7.600633333,2023,6,RA-53
55,2,6.7370166665,0.22771195353240578,6.576,6.898033333,2023,6,RA-55
56,3,8.588451169466667,0.4273228088538418,8.284333333,9.077020175400001,2024,7,RA-56
57,3,7.058418476733333,0.5292471330050865,6.450875,7.4193804301999995,2024,7,RA-57
58,3,8.2045263158,0.5358359665200854,7.70625,8.7713289474,2024,7,RA-58
59,2,7.6671458335,0.035561578772875545,7.642,7.692291667,2023,6,RA-59
61,2,7.4575541665,0.10669652096024256,7.382108333,7.533,2023,6,RA-61
62,2,7.7506666665,0.19846130348872676,7.610333333,7.891,2023,7,RA-62
63,2,8.17305,0.15407856762054886,8.0641,8.282,2023,6,RA-63
64,3,7.854716242088888,0.7709617286299094,7.368,8.743607059266667,2024,7,RA-64
70,2,6.2905666665,0.8182168265012911,5.712,6.869133333,2023,5,RA-70
71,2,5.8485499999999995,2.1447255780169177,4.332,7.3651,2023,6,RA-71
76,2,8.628516666666666,0.6738491922447397,8.152033333333334,9.105,2024,7,RA-76
78,3,7.217551956266667,0.8851607360938247,6.434625,8.1780308688,2024,7,RA-78
79,2,6.7414416665,0.14928202685720268,6.635883333,6.847,2023,6,RA-79
80,3,7.557978058577778,0.497180361681638,7.252275,8.131659175733333,2024,7,RA-80
81,3,7.795272222222223,0.4144599666813215,7.45425,8.256566666666668,2024,6,RA-81
84,2,6.3582083335,0.45791056614768616,6.034416667,6.682,2023,6,RA-84
85,3,6.775619795244444,0.46320877277094147,6.243,7.08435,2024,5,RA-85
86,2,7.5886166666333335,0.031984796688530506,7.566,7.611233333266666,2024,7,RA-86
87,3,8.937474853777777,0.4341082754847352,8.6625,9.437924561333332,2024,7,RA-87
89,2,7.0118875,0.4399795169237997,6.700775,7.323,2023,6,RA-89
90,3,8.831147222111111,0.5567972564491347,8.352033333333335,9.442,2024,7,RA-90
91,3,7.165218253977778,0.4505243289846773,6.645,7.426704761933335,2024,6,RA-91
92,3,7.461731894666666,0.5526592270511127,6.957,8.052279017,2024,7,RA-92
93,2,8.608275000033334,0.4705442074934475,8.275550000066668,8.941,2024,7,RA-93
94,3,8.282455555444445,0.8717098591155141,7.289333333,8.921,2024,6,RA-94
96,2,7.5753958335,0.0500572677871999,7.54,7.610791667,2023,6,RA-96
98,2,8.985725,0.5208194996829498,8.617450000000002,9.354,2024,7,RA-98
99,2,6.419225000000001,0.3694279378309115,6.158,6.68045,2023,6,RA-99
103,3,8.302056084666667,0.41191470039787426,8.0239,8.775268254,2024,5,RA-103
104,2,5.282500000000001,1.4601755031502213,4.25,6.315,2023,5,RA-104
106,3,7.821440872911111,0.13342969645554217,7.721664285733334,7.973,2024,6,RA-106
107,3,6.593113053355556,0.30227862916541365,6.258,6.845208333,2024,5,RA-107
108,2,5.238899999999999,0.4357191985671503,4.9308,5.547,2023,5,RA-108
109,2,8.4152,0.1368958728377156,8.3184,8.512,2023,6,RA-109
110,3,8.290131313133333,0.29811613240171514,8.0879,8.6324939394,2024,5,RA-110
111,3,8.293384090800002,0.6296296131588014,7.566458333,8.667693939400001,2024,5,RA-111
112,3,7.676639417888889,0.4760929449897797,7.141308333,8.052609920666667,2024,6,RA-112
113,2,5.037768451533333,2.8365849471385225,3.032,7.043536903066667,2024,5,RA-113
114,2,5.6145,0.39527269068327986,5.335,5.894,2023,5,RA-114
115,3,5.8697754542444445,0.4576942120358289,5.404184695733334,6.319141667,2024,5,RA-115
116,3,6.541515235711111,0.2748091904179074,6.337470707133334,6.854,2024,5,RA-116
119,2,7.793149999966667,0.4131624922001588,7.501,8.085299999933333,2024,7,RA-119
121,3,7.177677765755557,0.3372199388746417,6.811875,7.476158297266668,2024,5,RA-121
123,3,6.679860449622223,0.538657494692423,6.068333333,7.084,2024,6,RA-123
125,3,7.078571031644445,0.5019052453916828,6.627079761933334,7.619,2024,6,RA-125
127,3,8.254314646466666,0.3215829357798814,7.91935,8.5605939394,2024,5,RA-127
128,2,6.0334541665,0.6653226627392301,5.563,6.503908333,2023,5,RA-128
131,3,6.796504629544445,0.7324099983973101,5.952358333,7.263155555633333,2024,5,RA-131
132,3,8.060085714266668,0.617315835868121,7.350625,8.4746321428,2024,6,RA-132
133,2,6.5217083334999995,0.4996298662376923,6.168416667,6.875,2023,5,RA-133
137,3,6.523262061122222,0.5614026003831335,5.937025,7.056,2024,5,RA-137
138,3,6.9693674723,0.36157275683022116,6.738,7.3860274169,2024,5,RA-138
141,2,6.918895833500001,0.28157581258929143,6.719791667,7.118,2023,4,RA-141
143,3,7.960574999888888,0.6115008467218312,7.449366666666667,8.638,2024,7,RA-143
144,2,6.5856666665,2.2561420367415796,4.990333333,8.181,2023,5,RA-144
146,3,7.888679406111112,0.2796348456921371,7.584483333,8.134554885333333,2024,5,RA-146
147,3,6.827992640711112,1.1154842493660817,5.5425,7.541,2024,5,RA-147
149,3,5.892294684133333,0.37698766125763733,5.622266667,6.323,2024,5,RA-149
151,2,7.227770833499999,0.4740856337673281,6.892541667,7.563,2023,5,RA-151
152,3,6.5342479532,0.20702046578961286,6.30695,6.712,2024,5,RA-152
153,3,6.535605555666667,1.52373037160255,4.78185,7.535,2024,7,RA-153
155,2,6.6849958335,0.5176080561493611,6.318991667,7.051,2023,5,RA-155
157,3,8.382191666577777,0.5387455621086178,7.879008333,8.950566666733334,2024,5,RA-157
158,3,7.151528086422222,0.2566731266385701,6.855159259266667,7.302,2024,5,RA-158
159,2,6.6475166665,0.22276220606409985,6.49,6.805033333,2023,4,RA-159
160,3,6.73312500008889,0.12890397433629805,6.598266667,6.855108333266668,2024,5,RA-160
161,3,7.155204085111111,0.85808747377564,6.250166667,7.957,2024,5,RA-161
164,3,6.417264132688889,0.6749774803150689,5.638666667,6.837125731066667,2024,5,RA-164
165,3,8.036394525533334,0.4402617923128005,7.583433333,8.4627502436,2024,5,RA-165
166,3,8.200588888777778,0.08242350063904365,8.105583333,8.253,2024,7,RA-166
167,3,7.8792039474888895,0.13366047847532744,7.798,8.033470175466666,2024,6,RA-167
168,2,6.7000416665,0.3068254177055651,6.483083333,6.917,2023,5,RA-168
170,3,7.238605555433334,0.3542319165367234,7.007,7.646383333300001,2024,4,RA-170
171,3,6.734338888777778,0.5346783303130436,6.293083333,7.3289333333333335,2024,6,RA-171
172,2,8.400883333333333,0.3848310805477576,8.128766666666667,8.673,2024,7,RA-172
173,2,7.7867333335,0.04138931668975014,7.757466667,7.816,2023,5,RA-173
174,2,6.099600000000001,0.03478965363437776,6.075,6.1242,2023,4,RA-174
175,3,7.114551169711111,0.7928764909994099,6.569516667,8.024136842133334,2024,6,RA-175
176,3,8.524155302911112,0.2693770236646329,8.316833333,8.828632575733334,2024,5,RA-176
178,3,7.221942388066668,0.19112269677056695,7.025,7.406658333,2024,5,RA-178
179,3,8.454451315911111,0.4700816055353017,7.993,8.932712280733334,2024,4,RA-179
180,3,8.508893434444445,0.26552029863011767,8.283216667,8.801463636333335,2024,5,RA-180
181,3,7.911349915711111,0.6270702071042367,7.439841414133334,8.623,2024,5,RA-181
183,3,7.717714679511111,0.4966778772839157,7.3,8.266902371533334,2024,4,RA-183
184,3,8.060566123755557,0.6763041290649513,7.28,8.471456704266666,2024,5,RA-184
186,3,7.9918351011111115,0.2894540885625832,7.817541667,8.325963636333334,2024,5,RA-186
187,3,8.102099691355555,0.4081448288774758,7.809875,8.568424074066666,2024,4,RA-187
189,3,7.980952777777778,0.526747385713951,7.629,8.586533333333334,2024,5,RA-189
190,2,7.1345791665,0.28343786091781986,6.934158333,7.335,2023,3,RA-190
191,3,7.930788889,0.7483528357764561,7.263666667,8.74,2024,7,RA-191
